GEOID	NAME	UATYPE	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                                      
14536	Cassville, MO Urban Cluster	C	10732299	13226	       4.144	       0.005	 36.688323	 -93.870102                                                                                                     
14556	Castle Dale, UT Urban Cluster	C	6869867	0	       2.652	       0.000	 39.221760	-111.033667                                                                                                        
14570	Castle Rock, WA Urban Cluster	C	6165382	103700	       2.380	       0.040	 46.271904	-122.903932                                                                                                   
14590	Castroville, TX Urban Cluster	C	9879382	57485	       3.814	       0.022	 29.344409	 -98.882152                                                                                                    
14644	Catskill, NY Urban Cluster	C	10381505	114656	       4.008	       0.044	 42.212825	 -73.869612                                                                                                     
14671	Cazenovia, NY Urban Cluster	C	4044094	0	       1.561	       0.000	 42.937043	 -75.855432                                                                                                          
14698	Cedar City, UT Urban Cluster	C	43513591	0	      16.801	       0.000	 37.694517	-113.100443                                                                                                        
14705	Cedaredge, CO Urban Cluster	C	8383523	0	       3.237	       0.000	 38.858356	-107.953139                                                                                                          
14752	Cedar Rapids, IA Urbanized Area	U	216184657	1982830	      83.469	       0.766	 41.998597	 -91.663308                                                                                              
14779	Cedar Springs, MI Urban Cluster	C	4963939	170096	       1.917	       0.066	 43.219408	 -85.553023                                                                                                 
14806	Cedartown, GA Urban Cluster	C	22408003	75977	       8.652	       0.029	 34.010658	 -85.250283                                                                                                     
14833	Cedarville, OH Urban Cluster	C	2705936	90024	       1.045	       0.035	 39.748424	 -83.812177                                                                                                     
14860	Celina, OH Urban Cluster	C	11761387	100975	       4.541	       0.039	 40.553648	 -84.564783                                                                                                       
14887	Center, TX Urban Cluster	C	15045465	0	       5.809	       0.000	 31.792979	 -94.179939                                                                                                            
14914	Centerville, IA Urban Cluster	C	8685522	0	       3.353	       0.000	 40.730632	 -92.870897                                                                                                        
