USPS,County,Places
AL,Mobile County,.
FL,Lake County,Leesburg City
IL,.,Wilmington city
LA,.,Kenner city
AL,Cullman County,Cullman city
AL,Bibb County,.
AL,Bibb County,.
AL,Bibb County,.
AL,Bibb County,.
.,.,.
AZ,Pima County,.
NE,.,Omaha city
.,.,.
