"MarketID","StationID","UniqueIdentifier","CallSign","StationName","Location","GMTOffset","Website","PrimaryLanguage","TimeZoneIdentifier","MediaStationID","AllowMediaDownload","IsUnicode","DateAdded","MarketName","Country","Active","Latitude","Longitude"
"1","3515","ESPNEWS","ESPNEWS","ESPN NEWS","Bristol, CT","-5","
      ","en-us","Eastern Standard Time","3515","1","0","10/5/2016 10:58:36 AM","U.S. Cable","US","True","32.669521","-117.09543"
"1","3520","MTV","MTV","MTV","New York, NY","-5","
      ","en-us","Eastern Standard Time","3520","1","0","10/5/2016 10:58:36 AM","U.S. Cable","US","True","32.669521","-117.09543"
"1","3525","TBS","TBS","TBS","Atlanta, GA","-5","
      ","en-us","Eastern Standard Time","3525","1","0","10/5/2016 10:58:36 AM","U.S. Cable","US","True","32.669521","-117.09543"
"1","3575","BRAVO","BRAVO","BRAVO","New York, NY","-5","
      ","en-us","Eastern Standard Time","3575","1","0","10/5/2016 10:58:36 AM","U.S. Cable","US","True","32.669521","-117.09543"
"1","3645","CNNIUS","CNNI","CNN International (US)","Atlanta, GA","-5","
      ","en-us","Eastern Standard Time","3645","1","0","10/5/2016 10:58:36 AM","U.S. Cable","US","True","32.669521","-117.09543"
"1","4160","CSNMA","CSNMA","Comcast Sportsnet Mid-Atlantic","Bethesda, MD","-5","
      ","en-us","Eastern Standard Time","4160","1","0","10/5/2016 10:58:36 AM","U.S. Cable","US","True","32.669521","-117.09543"
"1","5375","OWN","OWN","Oprah Winfrey Network","Silver Spring, MD","-5","
      ","en-us","Eastern Standard Time","5375","1","0","10/5/2016 10:58:36 AM","U.S. Cable","US","True","32.669521","-117.09543"
"1","5870","USA","USA","USA Network","New York, NY","-5","
      ","en-us","Eastern Standard Time","5870","1","0","10/5/2016 10:58:36 AM","U.S. Cable","US","True","32.669521","-117.09543"
"1","5880","CART","CART","Cartoon Network","Atlanta, GA","-5","
      ","en-us","Eastern Standard Time","5880","1","0","10/5/2016 10:58:36 AM","U.S. Cable","US","True","32.669521","-117.09543"
"1","5885","LIFE","LIFE","Lifetime Television","New York, NY","-5","
      ","en-us","Eastern Standard Time","5885","1","0","10/5/2016 10:58:36 AM","U.S. Cable","US","True","32.669521","-117.09543"
"1","6310","AMC","AMC","AMC","Jericho, NY","-5","
      ","en-us","Eastern Standard Time","6310","1","0","10/5/2016 10:58:36 AM","U.S. Cable","US","True","32.669521","-117.09543"
"1","6345","SPIKE","SPIKE","SPIKE","New York, NY","-5","
      ","en-us","Eastern Standard Time","6345","1","0","10/5/2016 10:58:36 AM","U.S. Cable","US","True","32.669521","-117.09543"
"1","6350","ESPNU","ESPNU","ESPNU","Bristol, CT","-5","
      ","en-us","Eastern Standard Time","6350","1","0","10/5/2016 10:58:36 AM","U.S. Cable","US","True","32.669521","-117.09543"
"1","6660","NBCSPORTS","NBCSPORTS","NBC Sports Network","New York, NY","-5","
      ","en-us","Eastern Standard Time","6660","1","0","10/5/2016 10:58:36 AM","U.S. Cable","US","True","32.669521","-117.09543"
"1","6990","TWC","
      ","The Weather Channel","
      ","-5","
      ","en-us","Eastern Standard Time","6990","1","0","10/5/2016 10:58:36 AM","U.S. Cable","US","True","32.669521","-117.09543"
"1","6995","CBSSPORTS","
      ","CBS Sports Network","
      ","-5","
      ","en-us","Eastern Standard Time","6995","1","0","10/5/2016 10:58:36 AM","U.S. Cable","US","True","32.669521","-117.09543"
"1","7320","REELZ","ReelzChannel","ReelzChannel","
      ","-5","
      ","en-us","Eastern Standard Time","7320","1","0","10/5/2016 10:58:36 AM","U.S. Cable","US","True","32.669521","-117.09543"
"1","7890","HGTV","
      ","HGTV","Knoxville, TN","-6","
      ","en-us","Central Standard Time","7890","1","0","10/5/2016 10:58:36 AM","U.S. Cable","US","True","32.669521","-117.09543"
"1","7895","DIY","DIY","DIY Network","Knoxville, TN","-5","
      ","en-us","Eastern Standard Time","7895","1","0","10/5/2016 10:58:36 AM","U.S. Cable","US","True","32.669521","-117.09543"
"1","8120","FOXSPORTS1","
      ","Fox Sports 1","Los Angeles, CA","-5","
      ","en-us","Eastern Standard Time","8120","1","0","10/5/2016 10:58:36 AM","U.S. Cable","US","True","32.669521","-117.09543"
"1","8200","ESQUIRE","
      ","Esquire Network","Los Angeles, CA","-5","
      ","en-us","Eastern Standard Time","8200","1","0","10/5/2016 10:58:36 AM","U.S. Cable","US","True","32.669521","-117.09543"
"1","8240","FUSION","
      ","Fusion","Doral, FL","-5","
      ","en-us","Eastern Standard Time","8240","1","0","10/5/2016 10:58:36 AM","U.S. Cable","US","True","32.669521","-117.09543"
"1","9135","VH1","VH1","VH1","New York, NY","-5","
      ","en-us","Eastern Standard Time","9135","1","0","10/5/2016 10:58:36 AM","U.S. Cable","US","True","32.669521","-117.09543"
"1","13100","BLAZE","
      ","The Blaze","New York, NY","-5","
      ","en-us","Eastern Standard Time","13100","1","0","10/5/2016 10:58:36 AM","U.S. Cable","US","True","32.669521","-117.09543"
"1","13125","FS2","
      ","Fox Sports 2","Los Angeles, CA","-5","
      ","en-us","Eastern Standard Time","13125","1","0","10/5/2016 10:58:36 AM","U.S. Cable","US","True","32.669521","-117.09543"
"1","13515","NATGEO","
      ","National Geographic Channel","Washington D.C.","-5","
      ","en-us","Eastern Standard Time","13515","1","0","10/5/2016 10:58:36 AM","U.S. Cable","US","True","32.669521","-117.09543"
"1","13520","VICE","
      ","VICELAND","New York, NY","-5","
      ","en-us","Eastern Standard Time","13520","1","0","10/5/2016 10:58:36 AM","U.S. Cable","US","True","32.669521","-117.09543"
